loan_id,payment_date,scheduled_amount,actual_amount,days_past_due,payment_status
LOAN_000001,2021-08-30,74100.9,74100.9,0,on_time
LOAN_000001,2021-09-29,74100.9,74100.9,0,on_time
LOAN_000001,2021-10-29,74100.9,74100.9,0,on_time
LOAN_000001,2021-11-28,74100.9,74100.9,0,on_time
LOAN_000001,2021-12-28,74100.9,74100.9,24,late
LOAN_000001,2022-01-27,74100.9,74100.9,0,on_time
LOAN_000001,2022-02-26,74100.9,74100.9,0,on_time
LOAN_000001,2022-03-28,74100.9,74100.9,0,on_time
LOAN_000001,2022-04-27,74100.9,74100.9,0,on_time
LOAN_000001,2022-05-27,74100.9,74100.9,0,on_time
LOAN_000001,2022-06-26,74100.9,74100.9,0,on_time
LOAN_000001,2022-07-26,74100.9,74100.9,0,on_time
LOAN_000001,2022-08-25,74100.9,74100.9,0,on_time
LOAN_000001,2022-09-24,74100.9,74100.9,0,on_time
LOAN_000001,2022-10-24,74100.9,74100.9,0,on_time
LOAN_000001,2022-11-23,74100.9,74100.9,0,on_time
LOAN_000001,2022-12-23,74100.9,74100.9,0,on_time
LOAN_000001,2023-01-22,74100.9,74100.9,0,on_time
LOAN_000001,2023-02-21,74100.9,74100.9,0,on_time
LOAN_000001,2023-03-23,74100.9,74100.9,0,on_time
LOAN_000001,2023-04-22,74100.9,74100.9,0,on_time
LOAN_000001,2023-05-22,74100.9,74100.9,0,on_time
LOAN_000001,2023-06-21,74100.9,74100.9,0,on_time
LOAN_000001,2023-07-21,74100.9,74100.9,0,on_time
LOAN_000001,2023-08-20,74100.9,74100.9,0,on_time
LOAN_000001,2023-09-19,74100.9,74100.9,0,on_time
LOAN_000001,2023-10-19,74100.9,74100.9,0,on_time
LOAN_000001,2023-11-18,74100.9,74100.9,0,on_time
LOAN_000001,2023-12-18,74100.9,74100.9,0,on_time
LOAN_000001,2024-01-17,74100.9,57761.24,32,partial
LOAN_000001,2024-02-16,74100.9,74100.9,0,on_time
LOAN_000001,2024-03-17,74100.9,74100.9,0,on_time
LOAN_000001,2024-04-16,74100.9,74100.9,0,on_time
LOAN_000001,2024-05-16,74100.9,74100.9,12,late
LOAN_000001,2024-06-15,74100.9,74100.9,0,on_time
LOAN_000001,2024-07-15,74100.9,74100.9,0,on_time
LOAN_000002,2021-06-22,52354.57,52354.57,0,on_time
LOAN_000002,2021-07-22,52354.57,52354.57,0,on_time
LOAN_000002,2021-08-21,52354.57,52354.57,0,on_time
LOAN_000002,2021-09-20,52354.57,52354.57,0,on_time
LOAN_000002,2021-10-20,52354.57,52354.57,0,on_time
LOAN_000002,2021-11-19,52354.57,52354.57,0,on_time
LOAN_000002,2021-12-19,52354.57,52354.57,0,on_time
LOAN_000002,2022-01-18,52354.57,52354.57,0,on_time
LOAN_000002,2022-02-17,52354.57,52354.57,21,late
LOAN_000002,2022-03-19,52354.57,52354.57,0,on_time
LOAN_000002,2022-04-18,52354.57,52354.57,0,on_time
LOAN_000002,2022-05-18,52354.57,52354.57,0,on_time
LOAN_000002,2022-06-17,52354.57,52354.57,0,on_time
LOAN_000002,2022-07-17,52354.57,52354.57,0,on_time
LOAN_000002,2022-08-16,52354.57,52354.57,0,on_time
LOAN_000002,2022-09-15,52354.57,52354.57,0,on_time
LOAN_000002,2022-10-15,52354.57,52354.57,0,on_time
LOAN_000002,2022-11-14,52354.57,52354.57,0,on_time
LOAN_000002,2022-12-14,52354.57,52354.57,0,on_time
LOAN_000002,2023-01-13,52354.57,52354.57,0,on_time
LOAN_000002,2023-02-12,52354.57,52354.57,0,on_time
LOAN_000002,2023-03-14,52354.57,52354.57,0,on_time
LOAN_000002,2023-04-13,52354.57,52354.57,0,on_time
LOAN_000002,2023-05-13,52354.57,52354.57,0,on_time
LOAN_000002,2023-06-12,52354.57,52354.57,0,on_time
LOAN_000002,2023-07-12,52354.57,52354.57,0,on_time
LOAN_000002,2023-08-11,52354.57,52354.57,0,on_time
LOAN_000002,2023-09-10,52354.57,52354.57,0,on_time
LOAN_000002,2023-10-10,52354.57,52354.57,0,on_time
LOAN_000002,2023-11-09,52354.57,52354.57,0,on_time
LOAN_000002,2023-12-09,52354.57,52354.57,0,on_time
LOAN_000002,2024-01-08,52354.57,52354.57,0,on_time
LOAN_000002,2024-02-07,52354.57,52354.57,0,on_time
LOAN_000002,2024-03-08,52354.57,52354.57,0,on_time
LOAN_000002,2024-04-07,52354.57,52354.57,0,on_time
LOAN_000002,2024-05-07,52354.57,52354.57,0,on_time
LOAN_000003,2020-10-03,1388888.89,1388888.89,0,on_time
LOAN_000003,2020-11-02,1388888.89,1388888.89,0,on_time
LOAN_000003,2020-12-02,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-01-01,1388888.89,1126259.04,51,partial
LOAN_000003,2021-01-31,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-03-02,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-04-01,1388888.89,1388888.89,22,late
LOAN_000003,2021-05-01,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-05-31,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-06-30,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-07-30,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-08-29,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-09-28,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-10-28,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-11-27,1388888.89,1388888.89,0,on_time
LOAN_000003,2021-12-27,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-01-26,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-02-25,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-03-27,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-04-26,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-05-26,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-06-25,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-07-25,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-08-24,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-09-23,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-10-23,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-11-22,1388888.89,1388888.89,0,on_time
LOAN_000003,2022-12-22,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-01-21,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-02-20,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-03-22,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-04-21,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-05-21,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-06-20,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-07-20,1388888.89,1388888.89,0,on_time
LOAN_000003,2023-08-19,1388888.89,1388888.89,0,on_time
LOAN_000004,2024-03-18,2083333.33,2083333.33,0,on_time
LOAN_000004,2024-04-17,2083333.33,1373391.13,33,partial
LOAN_000004,2024-05-17,2083333.33,1135450.49,49,partial
LOAN_000004,2024-06-16,2083333.33,0.0,102,missed
LOAN_000005,2023-02-05,18857.14,18857.14,0,on_time
LOAN_000005,2023-03-07,18857.14,18857.14,0,on_time
LOAN_000005,2023-04-06,18857.14,18857.14,0,on_time
LOAN_000005,2023-05-06,18857.14,18857.14,0,on_time
LOAN_000005,2023-06-05,18857.14,18857.14,0,on_time
LOAN_000005,2023-07-05,18857.14,18857.14,0,on_time
LOAN_000005,2023-08-04,18857.14,18857.14,0,on_time
LOAN_000005,2023-09-03,18857.14,18857.14,0,on_time
LOAN_000005,2023-10-03,18857.14,18857.14,0,on_time
